danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,id,analysis_url,duration_ms,time_signature,name,artists_name,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.515,0.893,9,-5.661,1,0.0529,0.00114,0.65,108.01,0rUbFEW5im2yWMIE7dTWDp,https://api.spotify.com/v1/audio-analysis/0rUbFEW5im2yWMIE7dTWDp,297720,4,アイ・ノウ・ゼアズ・サムシング・ゴーイング・オン,Jorn,0.61,1,0.341,0.389
0.379,0.916,4,-6.727,1,0.0466,0.435,0.112,113.412,5F3RtuAbVwffw78rQ1CWdn,https://api.spotify.com/v1/audio-analysis/5F3RtuAbVwffw78rQ1CWdn,401440,4,アウルウッド - ライヴ,Cult Of Luna,0.639,0.938,0.491,0.415
0.485,0.899,11,-4.623,1,0.0525,6.12e-5,0.431,134.998,0xbY0m6bEtznhqJMpqUHQt,https://api.spotify.com/v1/audio-analysis/0xbY0m6bEtznhqJMpqUHQt,418533,4,アゲインスト・ザ・グレイン,Seventh Wonder,0.69,0.38,0.564,0.501
0.247,0.597,7,-9.93,0,0.0328,0.912,0.268,89.698,1AjrvzKWtAQsPhDemdyKCv,https://api.spotify.com/v1/audio-analysis/1AjrvzKWtAQsPhDemdyKCv,90227,4,アライヴァル,Seventh Wonder,0.408,0.838,0.48,0.59
0.0633,0.822,1,-2.479,1,0.0569,0.611,0.326,72.772,7wyZSAxVtui3uKEnkleBcJ,https://api.spotify.com/v1/audio-analysis/7wyZSAxVtui3uKEnkleBcJ,279875,4,アンダートウ - ライヴ (日本盤限定ボーナストラック),Marty Friedman,0,0.692,0.305,0.294
0.383,0.937,11,-5.326,1,0.0623,0.0209,0.191,139.96,18589FoWnWqzAJJXn3PuyS,https://api.spotify.com/v1/audio-analysis/18589FoWnWqzAJJXn3PuyS,253187,4,アンダー・ジ・オーク・ツリー,Cellar Darling,0.679,0.959,0.208,0.419
0.281,0.745,2,-6.045,0,0.0439,0.0113,0.119,138.69,7rXAkcUlhyr8nZq78DIK76,https://api.spotify.com/v1/audio-analysis/7rXAkcUlhyr8nZq78DIK76,428067,4,アンティル・ザ・デイ,Royal Hunt,0.42,0.769,0.798,0.62
0.264,0.051,4,-20.54,0,0.0333,0.387,0.0413,145.64,5RSrAu99tNbzbCJrywVd2Y,https://api.spotify.com/v1/audio-analysis/5RSrAu99tNbzbCJrywVd2Y,363560,3,アンド・ウィズ・ハー・ケイム・ザ・バーズ - ライヴ,Cult Of Luna,0.089,0.826,0.617,0.669
0.329,0.657,5,-6.627,0,0.0281,0.339,0.213,97.021,6OqBXCaIKPEV60CujY1owl,https://api.spotify.com/v1/audio-analysis/6OqBXCaIKPEV60CujY1owl,488320,4,アンバット,Sólstafir,0.376,0.986,0.783,0.708
0.412,0.613,1,-6.219,1,0.0303,0.00714,0.203,140.029,4WWWdNf6tnKRPXFxy2meU9,https://api.spotify.com/v1/audio-analysis/4WWWdNf6tnKRPXFxy2meU9,248040,4,アヴァランチ,Cellar Darling,0.586,0.821,1,1
0.281,0.857,3,-6.09,0,0.0626,2.04e-4,0.276,135.868,6hLR5bNNcl2OYoZPMXL9Ja,https://api.spotify.com/v1/audio-analysis/6hLR5bNNcl2OYoZPMXL9Ja,522960,4,アーキテクチャー・オブ・ア・ゴッド,Labyrinth,0.239,0.697,0.18,0.038
